logicalName,suggestedDomain,suggestedCategory,matchedBy
ccp_documentconfiguration_includesystemuser,GENERAL,Custom,fallback
ccp_documentconfiguration_includeteam,GENERAL,Custom,fallback
ccp_documenttype,GENERAL,Custom,fallback
ccp_dosphase,GENERAL,Custom,fallback
ccp_dosphaseconfig,GENERAL,Custom,fallback
ccp_dosphaseconfigline,GENERAL,Custom,fallback
ccp_dossierbusinessprocessflow,BEHEER VAN ZAKEN EN DOSSIERS,Custom,kw:dossier
ccp_dosstatus,GENERAL,Custom,fallback
ccp_dosstatusconfig,GENERAL,Custom,fallback
ccp_dosstatusconfigline,GENERAL,Custom,fallback
ccp_dynamictemplate,GENERAL,Custom,fallback
ccp_dynamictemplatedatasource,GENERAL,Custom,fallback
ccp_entity,GENERAL,Custom,fallback
ccp_epcaddress,GENERAL,Custom,fallback
ccp_epcscore,GENERAL,Custom,fallback
ccp_erkenninggeneriekbusinessprocessflow,PROCESMANAGER,Custom,kw:process
ccp_evaluation,FUNCTIONERING,Custom,kw:evaluation
ccp_evenement,EVENEMENTEN,Custom,kw:evenement
ccp_evenementenloketbusinessprocessflow,EVENEMENTEN,Custom,kw:evenement
ccp_event,EVENEMENTEN,Custom,kw:event
ccp_eventdrawing,EVENEMENTEN,Custom,kw:event
ccp_eventlocation,EVENEMENTEN,Custom,kw:event
ccp_eventlocationswe,EVENEMENTEN,Custom,kw:event
ccp_eventmobility,EVENEMENTEN,Custom,kw:event
ccp_eventpermitcondition,EVENEMENTEN,Custom,kw:event
ccp_eventsoundlevel,EVENEMENTEN,Custom,kw:event
ccp_eventwe,EVENEMENTEN,Custom,kw:event
ccp_eventwe_contact,EVENEMENTEN,Custom,kw:event
ccp_executionclimate,GENERAL,Custom,fallback
ccp_executivegovernment,GENERAL,Custom,fallback
ccp_faction,GENERAL,Custom,fallback
ccp_factuurwe,GENERAL,Custom,fallback
ccp_financialdebts,GENERAL,Custom,fallback
ccp_fixedstructure,GENERAL,Custom,fallback
ccp_fixedstructuretype,GENERAL,Custom,fallback
ccp_function,GENERAL,Custom,fallback
ccp_functionering_generiekprocess,PROCESMANAGER,Custom,kw:process
ccp_functionering_knipperlicht,FUNCTIONERING,Custom,kw:functionering
ccp_gasfine,GENERAL,Custom,fallback
ccp_gasfinetype,GENERAL,Custom,fallback
ccp_gasfollowup,GENERAL,Custom,fallback
ccp_gasgovernment,GENERAL,Custom,fallback
ccp_gasogm,GENERAL,Custom,fallback
ccp_gasogmnumber,GENERAL,Custom,fallback
ccp_gasupload,GENERAL,Custom,fallback
ccp_gdprconsultation,GENERAL,Custom,fallback
ccp_geographicscope,GENERAL,Custom,fallback
ccp_grant,SUBSIDIES,Custom,kw:grant
ccp_grantassociation,SUBSIDIES,Custom,kw:grant
ccp_grantcondition,SUBSIDIES,Custom,kw:grant
ccp_granteconomy,SUBSIDIES,Custom,kw:grant
ccp_grantenvironment,SUBSIDIES,Custom,kw:grant
ccp_grantproject,SUBSIDIES,Custom,kw:grant
ccp_grantsocial,SUBSIDIES,Custom,kw:grant
ccp_granttype,SUBSIDIES,Custom,kw:grant
ccp_grid,GENERAL,Custom,fallback
ccp_grid_ccp_grid,GENERAL,Custom,fallback
ccp_gridbutton,GENERAL,Custom,fallback
ccp_gridcolumn,GENERAL,Custom,fallback
ccp_holiday,GENERAL,Custom,fallback
ccp_hoofdvergunningbusinessprocessflow,PROCESMANAGER,Custom,kw:process
ccp_incidentcategory,MELDINGEN,Custom,kw:incident
ccp_incidentprocess,MELDINGEN,Custom,kw:incident
ccp_incidentstatusreason,MELDINGEN,Custom,kw:incident
ccp_informatievraagbpf,GENERAL,Custom,fallback
ccp_informationrequest,GENERAL,Custom,fallback
ccp_informationrequest_ccp_categoryclim,GENERAL,Custom,fallback
ccp_inkomensniveau,GENERAL,Custom,fallback
ccp_innamebusinessprocessflow,PROCESMANAGER,Custom,kw:process
ccp_institution,GENERAL,Custom,fallback
ccp_insurance,GENERAL,Custom,fallback
ccp_intake,GENERAL,Custom,fallback
ccp_jccteammappingconfig,GENERAL,Custom,fallback
ccp_keyword,GENERAL,Custom,fallback
ccp_keyword_ccp_account,CCSP ORGANISATIES,Custom,kw:account
ccp_keyword_ccp_contact,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_knowledgearea,GENERAL,Custom,fallback
ccp_knowledgearticle_ccp_authorisedgovernme,GENERAL,Custom,fallback
ccp_knowledgearticle_ccp_executivegovernmen,GENERAL,Custom,fallback
ccp_knowledgearticle_ccp_geographicscope,GENERAL,Custom,fallback
ccp_knowledgearticle_ccp_tag,GENERAL,Custom,fallback
ccp_knowledgearticle_ccp_youreuropecategory,GENERAL,Custom,fallback
ccp_knowledgearticle_msdyn_oclanguage,GENERAL,Custom,fallback
ccp_knowledgearticlebenefit,GENERAL,Custom,fallback
ccp_knowledgearticlecondition,GENERAL,Custom,fallback
ccp_knowledgearticlecontactdata,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_knowledgearticlecost,GENERAL,Custom,fallback
ccp_knowledgearticleprocedure,GENERAL,Custom,fallback
ccp_knowledgearticleregulation,GENERAL,Custom,fallback
